Estimated radiative forcings from individual components: 
  2) volcanic aerosols (two reconstructions)

Values are nominally adjusted forcings (W/m2) at the TOA, but specific
calulations using GCMs may give somewhat different results. The
baseline for each calculations is noted below. 

Sources, and calculation methodology from Schmidt et al (2010)
"Climate forcing reconstructions for use in PMIP simulations of the
Last Millennium (version 1.0)".
GRA: based on Gao, Robock and Ammmann
CEA: Based on Crowley et al

    GRA             CEA
1063 -0.020953	    -0.00806944    
1064 -0.00361203    -0.08225	    
1065 -0.000606912   -0.0222083	    
1066 -4.18246e-05   -0.00497222    
1067 0		    -0.393139	    
1068 0		    -0.128208	    
1069 0		    -0.0285972	    
1070 0		    -0.00415278    
1071 0		    0		    
1072 0		    0		    
1073 0		    0		    
1074 0		    -0.107444	    
1075 0		    -0.0304444	    
1076 0		    -0.140444	    
1077 0		    -0.0401667	    
1078 0		    -0.00879167    
1079 0		    -0.00116667    
1080 0		    0		    
1081 0		    0		    
1082 -1.35683	    0		    
1083 -0.844113	    0		    
1084 -0.159468	    0		    
1085 -0.0274029	    -0.0384167	    
1086 -0.00459976    -0.0325417	    
1087 -0.000327592   -0.00723611    
1088 0		    -0.00145833    
1089 0		    0		    
1090 0		    0		    
1091 0		    0		    
1092 0		    0		    
1093 0		    0		    
1094 0		    0		    
1095 -0.505296	    -0.0298472	    
1096 -0.270299	    -0.0629167	    
1097 -0.0492312	    -0.0140417	    
1098 -0.00838899    -0.00315278    
1099 -0.0014051	    -8.33333e-05   
1100 -0.000108605   -0.355444	    
1101 0		    -0.113486	    
1102 0		    -0.0253194	    
1103 0		    -0.00352778    
1104 0		    0		    
1105 0		    0		    
1106 0		    0		    
1107 0		    0		    
1108 0		    0		    
1109 0		    0		    
1110 0		    -0.0666667	    
1111 -0.326718	    -0.0173333	    
1112 -0.174772	    -0.373889	    
1113 -0.0318323	    -1.34865	    
1114 -0.00542429    -0.550611	    
1115 -0.000908515   -0.2025	    
1116 -7.02398e-05   -0.0745417	    
1117 0		    -0.0140694	    
1118 0		    -0.48925	    
1119 -0.289176	    -0.161056	    
1120 -0.154689	    -0.0359306	    
1121 -0.0281744	    -0.204028	    
1122 -0.004801	    -0.0614444	    
1123 -0.0879472	    -0.0137639	    
1124 -0.0481322	    -0.00191667    
1125 -0.00868679    0		    
1126 -0.00147656    0		    
1127 -0.000247153   0		    
1128 -1.73789e-05   -0.228125	    
1129 0		    -0.299111	    
1130 0		    -0.06675	    
1131 0		    -0.140014	    
1132 0		    -0.150139	    
1133 -0.205974	    -0.0335417	    
1134 -0.110182	    -0.0395972	    
1135 -0.0200681	    -0.0259861	    
1136 -0.00341968    -0.00579167    
1137 -0.000572868   -0.00118056    
1138 -4.42967e-05   -0.0280278	    
1139 0		    -0.00652778    
1140 0		    -0.0680972	    
1141 0		    -0.0174306	    
1142 0		    -0.003875	    
1143 -0.0833029	    -0.000430556   
1144 -0.0445614	    -0.0257222	    
1145 -0.00811639    -0.0491528	    
1146 -0.00138302    -0.0109444	    
1147 -0.000231643   -0.164083	    
1148 -1.7942e-05    -0.0483889	    
1149 0		    -0.0107917	    
1150 0		    -0.00144444    
1151 -0.215106	    -0.251014	    
1152 -0.115067	    -0.0787917	    
1153 -0.0209579	    -0.017625	    
1154 -0.00357121    -0.00247222    
1155 -0.000598054   -0.284167	    
1156 -4.62903e-05   -0.0898611	    
1157 0		    -0.0200833	    
1158 0		    -0.00280556    
1159 -2.25419	    0		    
1160 -1.23894	    -0.13825	    
1161 -0.223601	    -0.0407917	    
1162 -0.0380084	    -0.00911111    
1163 -0.00636199    -0.00122222    
1164 -0.000447744   0		    
1165 0		    -0.250417	    
1166 0		    -0.330431	    
1167 0		    -0.07375	    
1168 0		    -0.01625	    
1169 0		    -0.134347	    
1170 0		    -0.492958	    
1171 0		    -0.559028	    
1172 0		    -0.1715	    
1173 0		    -0.0342361	    
1174 0		    -0.00473611    
1175 0		    -0.0845972	    
1176 0		    -0.553125	    
1177 -2.5889	    -0.171944	    
1178 -2.21426	    -0.0381667	    
1179 -0.43162	    -0.00490278    
1180 -0.0746985	    0		    
1181 -0.0125619	    -0.0666667	    
1182 -0.00108508    -0.0173333	    
1183 0		    -0.003875	    
1184 0		    -0.227361	    
1185 0		    -0.0783889	    
1186 0		    -0.0174583	    
1187 0		    -0.00256944    
1188 0		    0		    
1189 -0.355567	    -0.0499444	    
1190 -0.224347	    -0.0122778	    
1191 -0.0433373	    -0.00276389    
1192 -0.00748606    -0.000277778   
1193 -0.00125835    -1.6981	    
1194 -9.18778e-05   -1.38981	    
1195 0		    -0.510958	    
1196 0		    -0.633806	    
1197 0		    -0.211681	    
1198 0		    -0.454222	    
1199 0		    -0.142819	    
1200 0		    -0.0308194	    
1201 0		    -0.00448611    
1202 0		    0		    
1203 0		    -0.203417	    
1204 0		    -0.0568611	    
1205 0		    -0.155292	    
1206 0		    -0.175056	    
1207 0		    -0.03875	    
1208 0		    -0.00843056    
1209 0		    0		    
1210 0		    0		    
1211 0		    0		    
1212 0		    0		    
1213 0		    0		    
1214 -4.73715	    0		    
1215 -2.91688	    0		    
1216 -0.557278	    -0.0666667	    
1217 -0.0960209	    -0.0173333	    
1218 -0.0161295	    -0.003875	    
1219 -0.00117095    -0.0584028	    
1220 0		    -0.0559722	    
1221 0		    -0.0124444	    
1222 0		    -0.187583	    
1223 0		    -0.0559583	    
1224 0		    -0.0124444	    
1225 0		    -0.490944	    
1226 0		    -0.161056	    
1227 0		    -0.0359306	    
1228 0		    -2.60057	    
1229 0		    -4.97674	    
1230 0		    -2.46368	    
1231 0		    -0.884986	    
1232 0		    -0.564056	    
1233 -1.41037	    -0.389542	    
1234 -0.754449	    -0.547069	    
1235 -0.137413	    -0.171944	    
1236 -0.0234152	    -0.276306	    
1237 -0.00392201    -0.0807083	    
1238 -0.000303232   -0.0169028	    
1239 0		    -0.002375	    
1240 0		    0		    
1241 0		    0		    
1242 0		    0		    
1243 0		    0		    
1244 0		    0		    
1245 0		    0		    
1246 0		    0		    
1247 0		    -0.116708	    
1248 0		    -0.0333472	    
1249 0		    -0.00744444    
1250 0		    -0.000958333   
1251 0		    -0.116708	    
1252 0		    -0.0333472	    
1253 0		    -0.00744444    
1254 0		    -0.000958333   
1255 0		    0		    
1256 0		    0		    
1257 0		    -1.56983	    
1258 0		    -11.2387	    
1259 -20.7035	    -5.1144	    
1260 -12.2913	    -0.856306	    
1261 -2.29754	    -0.110361	    
1262 -0.393862	    -0.0110972	    
1263 -0.0660729	    -0.00129167    
1264 -0.00482007    0		    
1265 0		    0		    
1266 0		    0		    
1267 0		    0		    
1268 0		    -0.999986	    
1269 -1.57271	    -0.459667	    
1270 -0.841292	    -0.216361	    
1271 -0.15323	    -0.0423472	    
1272 -0.0261104	    -0.00679167    
1273 -0.00437327    -0.175653	    
1274 -0.000338196   -0.0529444	    
1275 0		    -0.274514	    
1276 -6.21896	    -0.349417	    
1277 -3.38079	    -0.335444	    
1278 -0.61838	    -0.358042	    
1279 -0.105477	    -0.0760972	    
1280 -0.0176715	    -0.0167917	    
1281 -0.00135374    -0.147569	    
1282 0		    -0.180139	    
1283 0		    -0.0401667	    
1284 0		    -0.00873611    
