Estimated radiative forcings from individual components: 
  2) volcanic aerosols (two reconstructions)

Values are nominally adjusted forcings (W/m2) at the TOA, but specific
calulations using GCMs may give somewhat different results. The
baseline for each calculations is noted below. 

Sources, and calculation methodology from Schmidt et al (2010)
"Climate forcing reconstructions for use in PMIP simulations of the
Last Millennium (version 1.0)".
GRA: based on Gao, Robock and Ammmann
CEA: Based on Crowley et al

    GRA             CEA
1739 -0.179536	    -0.346431	    
1740 -0.305087	    -0.691653	    
1741 -0.0587965	    -0.153917	    
1742 -0.0101592	    -0.0343611	    
1743 -0.00170782    -0.000791667   
1744 -0.000223818   0		    
1745 0		    0		    
1746 0		    0		    
1747 0		    -0.102875	    
1748 0		    -0.0290278	    
1749 0		    -0.00648611    
1750 0		    -0.000805556   
1751 0		    0		    
1752 0		    0		    
1753 0		    0		    
1754 0		    0		    
1755 0		    0		    
1756 -0.0909403	    0		    
1757 -0.663648	    0		    
1758 -0.151135	    0		    
1759 -0.0269382	    0		    
1760 -0.004564	    -0.0959722	    
1761 -0.000681588   -0.0264167	    
1762 -1.93178	    -0.479403	    
1763 -7.0444	    -0.148903	    
1764 -1.55891	    -0.0330556	    
1765 -0.277146	    -0.00459722    
1766 -0.0469259	    0		    
1767 -0.00666349    0		    
1768 0		    0		    
1769 0		    0		    
1770 0		    0		    
1771 0		    0		    
1772 0		    -0.112125	    
1773 0		    -0.0318889	    
1774 0		    -0.00713889    
1775 0		    -0.000902778   
1776 0		    0		    
1777 0		    0		    
1778 0		    -0.107444	    
1779 0		    -0.112667	    
1780 0		    -0.0290556	    
1781 0		    -0.005875	    
1782 0		    -0.000611111   
1783 0		    -0.176542	    
1784 0		    -0.835472	    
1785 0		    -0.193875	    
1786 0		    -0.0432361	    
1787 0		    -0.00315278    
1788 0		    -0.213028	    
1789 0		    -0.0661667	    
1790 0		    -0.0147639	    
1791 0		    -0.00206944    
1792 0		    0		    
1793 0		    0		    
1794 0		    0		    
1795 -0.20712	    0		    
1796 -0.0895458	    -0.355444	    
1797 -0.435988	    -0.113486	    
1798 -0.285085	    -0.0253194	    
1799 -0.054625	    -0.00352778    
1800 -0.00941644    0		    
1801 -0.00158191    -0.24625	    
1802 -0.000109051   -0.0772222	    
1803 0		    -0.0172361	    
1804 0		    -0.368653	    
1805 0		    -0.111931	    
1806 0		    -0.0249306	    
1807 0		    -0.003375	    
1808 0		    0		    
1809 0		    -3.95007	    
1810 -4.42922	    -3.60625	    
1811 -2.6026	    -1.33696	    
1812 -0.485314	    -0.491917	    
1813 -0.0831501	    -0.174208	    
1814 -0.013947	    0		    
1815 -0.00102296    -3.97689	    
1816 -8.94887	    -7.28424	    
1817 -5.27857	    -3.87072	    
1818 -0.985201	    -1.46424	    
1819 -0.168832	    -0.538694	    
1820 -0.0283203	    -0.0625278	    
1821 -0.00207306    0		    
1822 0		    0		    
1823 0		    0		    
1824 0		    0		    
1825 0		    0		    
1826 0		    0		    
1827 0		    0		    
1828 0		    0		    
1829 0		    0		    
1830 0		    0		    
1831 0		    -0.1975	    
1832 -1.08747	    -1.96565	    
1833 -0.723349	    -0.968222	    
1834 -0.138601	    -0.356083	    
1835 -0.0238924	    -2.54128	    
1836 -3.86108	    -2.31201	    
1837 -1.24948	    -0.836014	    
1838 -0.226455	    -0.307625	    
1839 -0.038529	    -0.110958	    
1840 -0.00645077    -0.0757639	    
1841 0		    -0.0200694	    
1842 0		    -0.00445833    
1843 0		    -0.0827222	    
1844 0		    -0.0222083	    
1845 0		    -0.00497222    
1846 0		    -0.112736	    
1847 0		    -0.0318889	    
1848 0		    -0.00713889    
1849 0		    -0.000902778   
1850 0		    0		    
1851 0		    0		    
1852 0		    0		    
1853 0		    0		    
1854 0		    -0.188986	    
1855 0		    -0.0795694	    
1856 0		    -0.0177361	    
1857 0		    -0.00297222    
1858 0		    0		    
1859 0		    0		    
1860 0		    -0.0499444	    
1861 0		    -0.0353056	    
1862 -0.0126892	    -1.07554	    
1863 -0.530414	    -0.668167	    
1864 -0.132911	    -0.245778	    
1865 -0.0234301	    -0.090375	    
1866 -0.00395915    -0.028125	    
1867 -0.000639693   0		    
1868 0		    0		    
1869 0		    0		    
1870 0		    0		    
1871 0		    0		    
1872 0		    -0.024875	    
1873 0		    -0.162778	    
1874 0		    -0.0384028	    
1875 0		    -0.1935	    
1876 0		    -0.056625	    
1877 0		    -0.0124444	    
1878 0		    -0.00168056    
1879 0		    0		    
1880 0		    0		    
1881 0		    0		    
1882 0		    0		    
1883 0		    -0.409806	    
1884 -1.62912	    -3.13161	    
1885 -1.21188	    -1.45593	    
1886 -0.229026	    -0.905264	    
1887 -0.134366	    -0.315347	    
1888 -0.176293	    -0.0750139	    
1889 -0.0339752	    -0.00368056    
1890 -0.00587058    -0.0867778	    
1891 -0.000986736   -0.0236944	    
1892 -0.000129254   -0.0719167	    
1893 0		    -0.0179444	    
1894 0		    -0.003875	    
1895 0		    -0.000430556   
1896 0		    0		    
1897 0		    0		    
1898 0		    -0.13825	    
1899 0		    -0.0407917	    
1900 0		    -0.00911111    
1901 0		    -0.00122222    
1902 0		    -0.0834861	    
1903 -0.0843392	    -1.38407	    
1904 -0.435462	    -0.760125	    
1905 -0.0891004	    -0.279708	    
1906 -0.0155356	    -0.102861	    
1907 -0.00261757    -0.253486	    
1908 -0.000388074   -0.126125	    
1909 0		    -0.028125	    
1910 0		    -0.00522222    
1911 0		    0		    
1912 -0.533792	    -0.618597	    
1913 -0.602172	    -0.573083	    
1914 -0.119659	    -0.127417	    
1915 -0.0207999	    -0.0265556	    
1916 -0.00350186    -0.170917	    
1917 -0.000357551   -0.0514028	    
1918 0		    -0.0114444	    
1919 0		    -0.00154167    
1920 0		    0		    
1921 0		    -0.102875	    
1922 0		    -0.0290278	    
1923 0		    -0.00648611    
1924 0		    -0.228319	    
1925 0		    -0.0970556	    
1926 -0.514178	    -0.0216944	    
1927 -0.211051	    -0.00363889    
1928 -0.0391987	    0		    
1929 -0.00670879    -0.0492222	    
1930 -0.00112498    -0.0406528	    
1931 -2.95053e-05   -0.122681	    
1932 0		    -0.194917	    
1933 0		    -0.0530556	    
1934 0		    -0.0112778	    
1935 0		    -0.00122222    
1936 0		    0		    
1937 0		    0		    
1938 0		    0		    
1939 0		    0		    
1940 0		    0		    
1941 0		    0		    
1942 0		    0		    
1943 0		    0		    
1944 0		    0		    
1945 0		    0		    
1946 0		    0		    
1947 0		    0		    
1948 0		    0		    
1949 0		    0		    
1950 0		    0		    
1951 0		    0		    
1952 0		    0		    
1953 0		    0		    
1954 0		    0		    
1955 0		    0		    
1956 0		    -0.0959722	    
1957 0		    -0.0264167	    
1958 0		    -0.00590278    
1959 0		    -0.000708333   
1960 0		    0		    
1961 0		    0		    
1962 0		    0		    
1963 0		    -0.799736	    
1964 -1.87382	    -1.09893	    
1965 -0.705298	    -0.602889	    
1966 -0.127858	    -0.205542	    
1967 -0.0217567	    -0.0688611	    
1968 -0.00364262    -0.0111806	    
1969 -0.000103194   0		    
1970 0		    0		    
1971 0		    0		    
1972 0		    0		    
1973 0		    0		    
1974 0		    -0.00458333    
1975 0		    -0.488847	    
1976 0		    -0.299625	    
1977 -0.386459	    -0.110181	    
1978 -0.134132	    -0.0406806	    
1979 -0.0246518	    -0.0124583	    
1980 -0.00420822    0		    
1981 -0.000705174   0		    
1982 0		    -0.952181	    
1983 0		    -1.57626	    
1984 0		    -0.591347	    
1985 0		    -0.217528	    
1986 0		    -0.0799861	    
1987 0		    -0.007375	    
1988 0		    0		    
1989 0		    0		    
1990 0		    0		    
1991 0		    -0.740569	    
1992 -2.48151	    -2.62272	    
1993 -1.4524	    -1.06746	    
1994 -0.270582	    -0.392694	    
1995 -0.0463497	    -0.144333	    
1996 -0.00777391    -0.0271389	    
1997 -0.0005713	    0		    
1998 0		    0		    
1999 0		    0		    
2000 0		    0    
